kata1,kata2,relasi
tergesa-gesa,gapah-gopoh,sinonim
mungkin,muskil,antonim
pujian,cacatan,antonim
puncak,terbawah,antonim
sia-sia,terbuang,sinonim
grosir,pengecer,antonim
kesedihan,kesenangan,antonim
ujang,neng,antonim
berdaging,mambung,antonim
isak,bersedu-sedu,sinonim
kufur,ingkar,sinonim
pendiam,beleter,antonim
menginginkan,menghasratkan,sinonim
duduk,bertahana,sinonim
tajam,tumpul,antonim
merapatkan,mengantarai,antonim
menyangkut,mencangkel,sinonim
ibu,bapak,antonim
berpindah-pindah,berjangkit,sinonim
mencintai,membenci,antonim
ekstrem,eksesif,sinonim
halaman,pagina,sinonim
menimbun,jaja,antonim
damai,ribut,antonim
menyengsarakan,menyenangkan,antonim
beruntung,merugi,antonim
kemampuan,efisiensi,sinonim
pustaka,lektur,sinonim
kawin,cerai,antonim
pakem,blong,antonim
datang,menjeru,sinonim
membersihkan,mengotori,antonim
penghargaan,takrim,sinonim
berkilau,mengilap,sinonim
rumpun,perdu,sinonim
integral,terkonsolidasi,sinonim
imunitas,keimunan,sinonim
pintar,bebal,antonim
bukit,lembah,antonim
waris,pewaris,antonim
mengkhayal,mengkhayalkan,sinonim
suci,bening,sinonim
melatih,melampas,sinonim
sekam,pesak,sinonim
memperhatikan,mengabaikan,antonim
merapikan,memberantakkan,antonim
daratan,lautan,antonim
berselisih,bermesra,antonim
antek,begundal,sinonim
bila,pada waktu,sinonim
bapak,emak,antonim
alias,nama panggilan,sinonim
bertentangan,berdamai,antonim
sementara,kekal,antonim
mengenakan,memperdayakan,sinonim
ceria,bernoda,antonim
dalam,dangkal,antonim
melakukan,melaksanakan,sinonim
tarik,sorong,antonim
cukil,cungkil,sinonim
apresiasi,depresiasi,antonim
rapat,renggang,antonim
konsistensi,inkonsistensi,antonim
simpati,antipati,antonim
kekasih,biji mata,sinonim
cantik,jelek,antonim
pemisahan,pencampuran,antonim
penahanan,penyerbuan,antonim
introspeksi,muhasabah,sinonim
bekas,bakat,sinonim
sejajar,seleret,sinonim
eksklusif,inklusif,antonim
hanyut,penyap,sinonim
sombong,rendah hati,antonim
berjaya,berdaulat,sinonim
mendedahkan,menyarungkan,antonim
menahan,membebaskan,antonim
ilegal,valid,antonim
istri,suami,antonim
mencampur,memisah,antonim
memperbaiki,memenda,sinonim
kepentingan,relevansi,sinonim
melemahkan,menebalkan,antonim
bergerombol,berhimpun,sinonim
efisiensi,inefisiensi,antonim
memetik,capai,sinonim
difusi,pengumpulan,antonim
kesenyapan,kebisingan,antonim
menanggalkan,membalutkan,antonim
isap,serot,sinonim
jelas,kabur,antonim
memedulikan,bengkalai,antonim
menggiurkan,pincut,sinonim
pemusnahan,pengabadian,antonim
gelisah,berusuh,sinonim
bercerita,mendongeng,sinonim
mengusir,mengincitkan,sinonim
kewanitaan,maskulin,antonim
ramai,lengang,antonim
pencinta,pembenci,antonim
bergeser,bergesek,sinonim
busuk,sangit,sinonim
termuda,terbelakang,sinonim
menutup,ungkap,antonim
lantik,jengkit,sinonim
menundukkan,mendongakkan,antonim
belaka,melulu,sinonim
mencairkan,mengentalkan,antonim
keyakinan,kesangsian,antonim
ingat-ingat,camkan,sinonim
susah,kekurangan,sinonim
timbul,tenggelam,antonim
naluri,sifat (bawaan),sinonim
seumpama,andai kata,sinonim
menyegerakan,menggegas,sinonim
intervensi,lepas tangan,antonim
penipu,kicu,sinonim
akmal,mahasempurna,sinonim
amatir,pacak,antonim
baru,lama,antonim
maju,mundur,antonim
pendatang,pribumi,antonim
pengekspor,pengimpor,antonim
menamatkan,basmi,sinonim
kering,basah,antonim
suksesi,alternasi,sinonim
asli,duplikat,antonim
lambang,duaja,sinonim
kusta,abras,sinonim
berdebat,beranggar pikiran,sinonim
akrab,renggang,antonim
menawarkan,menetralkan,sinonim
berlama-lama,cepat-cepat,antonim
melayang,mengambang,sinonim
marak,padam,antonim
hubungan,sangkutan,sinonim
ular-ular,ula-ula,sinonim
menghormati,memunjungi,sinonim
tegak,rebah,antonim
mengutamakan,menomorduakan,antonim
tuan,ajudan,antonim
tertutup,transparan,antonim
arak,berderet-deret,sinonim
membiarkan,memelihara,antonim
fertil,infertil,antonim
sah,akurat,sinonim
amplop,pembungkus surat,sinonim
hidup,mati,antonim
berpacaran,berkasih-kasihan,sinonim
aki,nini,antonim
berkamuflase,bertedengan,sinonim
jujur,bohong,antonim
pukul,hempas,sinonim
terpendam,tercurah,antonim
ekspresi,air muka,sinonim
dungu,cendekia,antonim
ragu-ragu,rambang,sinonim
dakar,degil,sinonim
lurus,mengsol,antonim
bertikai,bertemu roma,sinonim
berkelahi,pergelutan,sinonim
takabur,rendah hati,antonim
puji,cerca,antonim
berlayar,berlabuh,antonim
malas,cekatan,antonim
memberontak,berontak,sinonim
pertemanan,permusuhan,antonim
tamat,binasa,sinonim
lepas,rangkai,antonim
menobatkan,menjerakan,sinonim
gentar,keder,sinonim
pasang,surut,antonim
menelentangkan,meniarapkan,antonim
segar,lesu,antonim
mengeja,eja,sinonim
spirit,atma,sinonim
mengundang,usir,antonim
ketergantungan,kemandirian,antonim
menentukan,menghadkan,sinonim
senyap,lengang,sinonim
ambal,babut,sinonim
ada,benar,sinonim
organisasi,perhimpunan,sinonim
pasukan,gerombolan,sinonim
kerajinan,kemalasan,antonim
menurut,bantah,antonim
keretakan,guyub,antonim
seperti,sebagaimana,sinonim
terlupa,terkenang,antonim
mancung,penyek,antonim
menghaluskan,melembutkan,sinonim
sesak,lapang,antonim
tengah,tepi,antonim
penasihat,paranpara,sinonim
perdamaian,perbalahan,antonim
biasa,istimewa,antonim
paparan,curaian,sinonim
pembantah,dugal,sinonim
kesulitan,kemudahan,antonim
cembung,cengkung,antonim
menjelaskan,agak-agih,sinonim
kepalsuan,keserongan,sinonim
jawaban,soal,antonim
lestari,fana,antonim
berlainan,uniform,antonim
menenggelamkan,mengapungkan,antonim
sepasang,serasi,sinonim
oma,opa,antonim
pacar,tabo,sinonim
deklinasi,inklinasi,antonim
melawan,basmi,sinonim
menolak,mungkir,sinonim
kelambanan,kecekatan,antonim
memperistri,menyandingi,sinonim
sehat,merana,antonim
hidup,padam,antonim
bentrok,cekcok,sinonim
prestasi,wanprestasi,antonim
buruk,berkarat,sinonim
bayu,arus udara,sinonim
berhasil,gagal,antonim
asli,palsu,antonim
logis,irasional,antonim
sok,rendah hati,antonim
melek,merem,antonim
mengaktifkan,menonaktifkan,antonim
boling,bola gelinding,sinonim
bertambah,bertumbuh,sinonim
tertancap,tercocok,sinonim
haram,halal,antonim
pemimpi,ilusionis,sinonim
gadis,(je)jaka,antonim
sesuai,bersuai,sinonim
nala,bernala-nala,sinonim
arif,cerdik,sinonim
menyatukan,memecah belah,antonim
bena,luar biasa,sinonim
menutup,selak,antonim
menepati,memungkiri,antonim
muda,masak,antonim
rukun,cekcok,antonim
berdiskusi,berbahasan,sinonim
lokal,universal,antonim
berkelanjutan,berekor-ekor,sinonim
buram,kalis,sinonim
normal,aneh,antonim
terhunus,terhunjam,antonim
bijak,bijaksana,sinonim
harapan,andalan,sinonim
penduduk,pendatang,antonim
keanekaragaman,heterogen,antonim
pengolahan,penggodokan,sinonim
berpotongan,silang selisih,sinonim
banyak,mumbung,sinonim
tuan,puan,antonim
mencabut,menancapkan,antonim
bertapa,bertarak,sinonim
lintasan,trek,sinonim
pernikahan,perceraian,antonim
ketenangan,kepanikan,antonim
huru-hara,turbulensi,sinonim
aman,rusuh,antonim
beriman,menganut (agama),sinonim
perpisahan,mempertemukan,antonim
lebat,gundul,antonim
halus,kasar,antonim
gugu,tergugu-gugu,sinonim
benar,keliru,antonim
fitrah,kesucian,sinonim
menjalankan,henti,antonim
roh,nyawa,sinonim
internasional,lokal,antonim
yayasan,wakaf,sinonim
berontak,mendurhaka,sinonim
penuh,vakum,antonim
bidik,incar,sinonim
bersukaria,bersenda gurau,sinonim
tempel,mencopot,antonim
waduk,menara air,sinonim
normal,cacat,antonim
anja,aleman,sinonim
beralih,bersilih,sinonim
suci,najis,antonim
menyeberang,balik gagang,sinonim
fisik,materi,sinonim
spiritual,jasmaniah,antonim
berhenti,berjeda,sinonim
serentak,sinkron,sinonim
bugar,tenat,antonim
gili,menggelikan,sinonim
bara,bara api,sinonim
konotasi,denotasi,antonim
kesempatan,keluasan,sinonim
melimpah,meluap,sinonim
tugas,pensiun,antonim
terbuang,batil,sinonim
meluruskan,tekuk,antonim
menggeleng,angguk,antonim
kerugian,pemanfaatan,antonim
teguh,goyah,antonim
sepi,recok,antonim
hati,manah,sinonim
kemudahan,kepelikan,antonim
berserakan,berarak,sinonim
hujat,umpat,sinonim
bantam,ayam katik,sinonim
mempelajari,mengajar,antonim
menaiki,mendaki,sinonim
tersandung,kesandung,sinonim
berseri,murung,antonim
enggan,mau tak mau,antonim
merangkai,gubah,sinonim
daging,uci-uci,sinonim
mau,sedia,sinonim
aktif,nonaktif,antonim
penangkapan,pembebasan,antonim
berjiwa,bernyawa,sinonim
gagap,lancar -gagap patah lidah,antonim
berbincang-bincang,berwawanrembuk,sinonim
ranum,mengkal,antonim
subur,majir,antonim
tertanggal,tersarung,antonim
memuji,ejek,antonim
tertutup,terselak,antonim
puji,mencela,antonim
gendut,ceking,antonim
formal,nonformal,antonim
ambil,simpan,antonim
naik,drop,antonim
relasi,pertalian,sinonim
terpisah,tergabung,antonim
gerak,periodik,antonim
berjuang,bertempur,sinonim
jambul,kucir,sinonim
berdamai,ucok,sinonim
derek,leret,sinonim
merampas,gasak,sinonim
intan,berlian,sinonim
aduk,mengaduk,sinonim
mencetak,menera,sinonim
istilah,terma,sinonim
cewek,mencotok,antonim
tunggal,bineka,antonim
pion,begundal,sinonim
mustahil,munasabah,antonim
bersih,ihram,sinonim
anggota,konstituen,sinonim
akal,ingatan,sinonim
skematis,ilustratif,sinonim
kegagalan,kesuksesan,antonim
melengkapi,mempreteli,antonim
repot-repot,pusing-pusing,sinonim
terlupa,teragak,antonim
substitusi,penyulihan,sinonim
pujian,celaan,antonim
menghancurkan,melumatkan,sinonim
menyebarkan,menyatukan,antonim
panjang,singkat,antonim
johan,bahadur,sinonim
antagonis,protagonis,antonim
kesepakatan,konsensus,sinonim
cepat,pelan,antonim
polos,berjalur-jalur,antonim
derma,medit,antonim
akhirnya,mulanya,antonim
capit,angkup,sinonim
mami,papi,antonim
trinil,kedidi,sinonim
wortel,bortel,sinonim
mancung,pesek,antonim
panjang,pendek,antonim
kesempurnaan,mencacati,antonim
motif,mata kain,sinonim
isu,gunjingan,sinonim
penyerapan,absorpsi,sinonim
asrama,barak,sinonim
bangat,lajak,sinonim
berusaha,berbisnis,sinonim
bersama-sama,rantam,sinonim
barang,perlengkapan,sinonim
sempit,selesa,antonim
sementara,abadi,antonim
beduk,nakara,sinonim
karena,tegal,sinonim
mencair,luluh,sinonim
bangsat,pijat-pijat,sinonim
pemikir,budayawan,sinonim
tunarungu,congek,sinonim
menggemparkan,menghirukkan,sinonim
keuntungan,kerugian,antonim
transparansi,ketertutupan,antonim
